5/100 - 200/569 |  Loss train-val = 2.4407 - 2.2596 | Acc train - val = 0.2906 - 0.3294
5/100 - 400/569 |  Loss train-val = 2.3256 - 2.3439 | Acc train - val = 0.2937 - 0.3197
6/100 - 0/569 |  Loss train-val = 2.0799 - 2.2043 | Acc train - val = 0.3137 - 0.3336
6/100 - 200/569 |  Loss train-val = 1.3908 - 2.1366 | Acc train - val = 0.3870 - 0.3462
6/100 - 400/569 |  Loss train-val = 2.2761 - 2.3232 | Acc train - val = 0.3568 - 0.3204
7/100 - 0/569 |  Loss train-val = 2.7752 - 2.1283 | Acc train - val = 0.2786 - 0.3408
7/100 - 200/569 |  Loss train-val = 1.9302 - 2.1939 | Acc train - val = 0.3811 - 0.3373
7/100 - 400/569 |  Loss train-val = 2.0085 - 2.2440 | Acc train - val = 0.3530 - 0.3257
8/100 - 0/569 |  Loss train-val = 2.6899 - 2.2713 | Acc train - val = 0.2839 - 0.3317
8/100 - 200/569 |  Loss train-val = 2.7328 - 2.1062 | Acc train - val = 0.2690 - 0.3480
8/100 - 400/569 |  Loss train-val = 2.1271 - 2.0752 | Acc train - val = 0.2997 - 0.3499
9/100 - 0/569 |  Loss train-val = 2.0806 - 2.1678 | Acc train - val = 0.3633 - 0.3353
9/100 - 200/569 |  Loss train-val = 2.0672 - 2.2104 | Acc train - val = 0.3097 - 0.3328
9/100 - 400/569 |  Loss train-val = 1.6722 - 2.2012 | Acc train - val = 0.4361 - 0.3391
10/100 - 0/569 |  Loss train-val = 1.6049 - 2.2308 | Acc train - val = 0.3948 - 0.3311
10/100 - 200/569 |  Loss train-val = 2.3978 - 2.3061 | Acc train - val = 0.3187 - 0.3196
10/100 - 400/569 |  Loss train-val = 2.7110 - 2.2018 | Acc train - val = 0.2881 - 0.3313
11/100 - 0/569 |  Loss train-val = 2.8733 - 2.1514 | Acc train - val = 0.3040 - 0.3420
11/100 - 200/569 |  Loss train-val = 1.9032 - 2.2388 | Acc train - val = 0.3505 - 0.3277
11/100 - 400/569 |  Loss train-val = 3.3710 - 2.1626 | Acc train - val = 0.1845 - 0.3390
12/100 - 0/569 |  Loss train-val = 2.4591 - 2.1300 | Acc train - val = 0.3579 - 0.3443
12/100 - 200/569 |  Loss train-val = 2.5249 - 2.2045 | Acc train - val = 0.2951 - 0.3337
12/100 - 400/569 |  Loss train-val = 1.8853 - 2.2739 | Acc train - val = 0.3405 - 0.3249
13/100 - 0/569 |  Loss train-val = 1.8907 - 2.1159 | Acc train - val = 0.3154 - 0.3407
